regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0001170	FBgn0262035	5.0	5.0	1.0	0.99999123450727256	0.0
FBgn0001170	FBgn0033090	5.0	5.0	1.0	0.99999123450727256	0.0
FBgn0001170	FBgn0035782	5.0	5.0	1.0	0.99999123450727256	0.0
FBgn0001170	FBgn0085359	5.0	5.0	1.0	0.99999123450727256	0.0
FBgn0001170	FBgn0036913	5.0	5.0	1.0	0.99999123450727256	0.0
FBgn0001170	FBgn0051119	5.0	5.0	0.85983609549808959	0.99998097063971991	0.0
FBgn0001170	FBgn0050154	5.0	5.0	0.66627985339542506	0.99998059604601364	0.0
FBgn0001170	FBgn0261086	5.0	5.0	0.60603690022979706	0.99997550157160786	0.0
FBgn0001170	FBgn0033807	5.0	5.0	0.49370193681368746	0.99997467746545399	0.0
FBgn0001170	FBgn0052440	5.0	5.0	0.62931925555055113	0.9999713810408386	0.0
FBgn0001170	FBgn0265540	5.0	5.0	0.62302008730044545	0.99997115628461475	0.0
FBgn0001170	FBgn0033736	5.0	5.0	0.47844889180028127	0.99996254062936984	0.0
FBgn0001170	FBgn0037816	5.0	5.0	0.36953815507229804	0.99994141354433452	0.0
FBgn0001170	FBgn0039946	5.0	5.0	0.36814216578336179	0.99991983694685149	0.0
FBgn0001170	FBgn0037205	5.0	5.0	0.32653870426261267	0.99991504214741089	0.0
FBgn0001170	FBgn0035241	5.0	5.0	0.3848804072483647	0.99991466755370462	0.0
FBgn0001170	FBgn0264835	5.0	5.0	0.27862941564055865	0.99990770011076735	0.0
FBgn0003870	FBgn0000377	5.0	5.0	0.24123108711201668	0.99988507465090681	1.0
FBgn0001170	FBgn0028738	5.0	5.0	0.248457805495508	0.99987443618964778	0.0
FBgn0001170	FBgn0030159	5.0	5.0	0.22146372421330351	0.99985600617929782	0.0
FBgn0001170	FBgn0053172	5.0	5.0	0.43529938549744918	0.99984986284251443	0.0
FBgn0001170	FBgn0032156	5.0	5.0	0.19484010523149942	0.99981704843384245	0.0
FBgn0003870	FBgn0265669	5.0	5.0	0.23779585501112266	0.99977314605146395	1.0
FBgn0001170	FBgn0051643	5.0	5.0	0.2168690634994811	0.99976984962684845	0.0
FBgn0001170	FBgn0031434	5.0	5.0	0.18475147440976347	0.99972894399412038	0.0
FBgn0001170	FBgn0011695	5.0	5.0	0.25793250643132204	0.99971515894572849	0.0
FBgn0001170	FBgn0026582	5.0	5.0	0.20435776563112995	0.99971201235859553	0.0
FBgn0001170	FBgn0264746	5.0	5.0	0.18539044846755104	0.99968773868642724	0.0
FBgn0001170	FBgn0036266	5.0	5.0	0.21045995066306	0.99957610976194944	0.0
FBgn0001297	FBgn0004859	5.0	5.0	0.14964179357222096	0.99956786870041081	1.0
FBgn0011236	FBgn0010228	-5.0	5.0	0.1676446558169048	0.99954224649089984	1.0
FBgn0002521	FBgn0263049	5.0	5.0	0.20066630846428812	0.99943930814040816	1.0
FBgn0001170	FBgn0086704	5.0	5.0	0.14626527646602816	0.9994232755297785	0.0
FBgn0003870	FBgn0033526	5.0	5.0	0.15477554811943228	0.99939195949593174	0.0
FBgn0001170	FBgn0283442	5.0	5.0	0.16045460980084503	0.99936918419858856	0.0
FBgn0001297	FBgn0010198	-5.0	5.0	0.18556580136864032	0.99936199199942766	1.0
FBgn0003396	FBgn0043001	5.0	5.0	0.14687464108330306	0.99935914508725976	1.0
FBgn0005694	FBgn0003062	5.0	5.0	0.15378337077373094	0.99932228506655973	1.0
FBgn0000611	FBgn0035868	5.0	5.0	0.14070416165356658	0.9992830276461393	1.0
FBgn0029822	FBgn0036813	5.0	5.0	0.2026581159779739	0.99928137943383155	1.0
FBgn0001170	FBgn0050414	5.0	5.0	0.25749595941102454	0.999145626674668	0.0
FBgn0001170	FBgn0035678	5.0	5.0	0.15739250770112378	0.99907670143270855	0.0
FBgn0035481	FBgn0053481	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
FBgn0035481	FBgn0000442	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
FBgn0035481	FBgn0265096	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
FBgn0035481	FBgn0004511	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
FBgn0035481	FBgn0051004	5.0	5.0	0.21308982185601555	0.99901481855242757	0.0
