regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
FBgn0035405	FBgn0266376	20.0	20.0	0.23526249267726401	0.99973246082404021	1.0
FBgn0004396	FBgn0037989	-20.0	20.0	0.23627898940850195	0.9996814235814816	1.0
FBgn0004396	FBgn0259735	-20.0	20.0	0.15524835415209015	0.99796484931823026	1.0
FBgn0004396	FBgn0003165	-19.0	19.0	0.19174977996632331	0.94935845861025914	1.0
FBgn0052105	FBgn0027066	19.0	19.0	0.15574727370105546	0.94892642997739085	1.0
FBgn0004396	FBgn0261822	-19.0	19.0	0.179284291313973	0.94892399189255527	1.0
FBgn0004396	FBgn0019936	19.0	19.0	0.17543293949095579	0.94875990878311933	1.0
FBgn0004396	FBgn0025879	-19.0	19.0	0.17844781996500836	0.9486017583467834	1.0
FBgn0001981	FBgn0039209	19.0	19.0	0.14195626415678891	0.94841061249567238	1.0
FBgn0013263	FBgn0015609	19.0	19.0	0.15027818185314251	0.94840248554622042	1.0
FBgn0004396	FBgn0062978	-19.0	19.0	0.17286310331159216	0.94806221017266512	1.0
FBgn0001981	FBgn0010409	19.0	19.0	0.1301087278034016	0.94750632683014835	1.0
FBgn0000567	FBgn0003137	18.0	18.0	0.24792253009390502	0.89979975196550277	0.0
FBgn0004396	FBgn0034709	-18.0	18.0	0.17858448070257027	0.89917251400679743	1.0
FBgn0040918	FBgn0035753	-18.0	18.0	0.18557890153817896	0.89896869011454128	1.0
FBgn0002922	FBgn0016691	18.0	18.0	0.14630696711603086	0.89838704434226158	1.0
FBgn0004396	FBgn0016797	-18.0	18.0	0.1484573754790679	0.89805936574035694	1.0
FBgn0032223	FBgn0030897	18.0	18.0	0.12790464034494481	0.89795948553159188	0.0
FBgn0004198	FBgn0058469	18.0	18.0	0.12884408061248315	0.89787488398779658	1.0
FBgn0001981	FBgn0030847	-18.0	18.0	0.1229227868747011	0.8976943031709731	1.0
FBgn0038197	FBgn0010217	18.0	18.0	0.12055487271810833	0.89760823877627649	1.0
FBgn0005612	FBgn0259244	18.0	18.0	0.11912472058722628	0.89738742955966566	1.0
FBgn0004396	FBgn0044047	-18.0	18.0	0.10622151085522913	0.89726771959423768	1.0
FBgn0001981	FBgn0031474	-18.0	18.0	0.13674541320083972	0.89724837745454189	1.0
FBgn0038766	FBgn0029676	18.0	18.0	0.11593918882706061	0.89714102045228095	1.0
FBgn0001981	FBgn0003360	18.0	18.0	0.094736872832578645	0.89579999252320652	1.0
FBgn0000567	FBgn0041630	17.0	17.0	0.14556742132413031	0.84912237072867858	1.0
FBgn0040918	FBgn0004403	-17.0	17.0	0.16995491772221699	0.84893057472161138	1.0
FBgn0052105	FBgn0004363	17.0	17.0	0.15474009842326303	0.84888514507417467	1.0
FBgn0001180	FBgn0035868	17.0	17.0	0.12294479866346741	0.84836388253632344	1.0
FBgn0004396	FBgn0014020	-17.0	17.0	0.12485684296215122	0.84823685831638862	1.0
FBgn0004396	FBgn0010612	17.0	17.0	0.12377279595186763	0.84815818944569332	1.0
FBgn0000014	FBgn0085412	17.0	17.0	0.12876762498372235	0.84813405240582085	1.0
FBgn0086758	FBgn0030136	17.0	17.0	0.12991857199098628	0.84802555763063669	1.0
FBgn0000286	FBgn0061515	17.0	17.0	0.12980335222932238	0.84799516283968612	1.0
FBgn0004396	FBgn0032297	-17.0	17.0	0.12135258475613669	0.84765740682046109	1.0
FBgn0001981	FBgn0023526	17.0	17.0	0.12326736147048412	0.84753208925991119	1.0
FBgn0052105	FBgn0037647	17.0	17.0	0.10668349745284939	0.84713346238929066	1.0
FBgn0003567	FBgn0037470	17.0	17.0	0.09832172554684393	0.84615652179566569	1.0
FBgn0003396	FBgn0031681	17.0	17.0	0.10102942879770049	0.84604055022698565	1.0
FBgn0052105	FBgn0034617	17.0	17.0	0.086678705286050262	0.84582242290369403	1.0
FBgn0004396	FBgn0000150	16.0	16.0	0.20411057290998197	0.79953172517257576	1.0
FBgn0040918	FBgn0285948	-16.0	16.0	0.15367466567495974	0.79931627974260322	0.0
FBgn0035144	FBgn0002174	16.0	16.0	0.14656262977718637	0.79927117517314461	0.0
FBgn0000567	FBgn0015399	16.0	16.0	0.15562165824443913	0.79911432504872104	1.0
FBgn0032223	FBgn0029791	16.0	16.0	0.15859630048212825	0.79894219625932772	1.0
FBgn0034946	FBgn0011272	-16.0	16.0	0.14708459982434141	0.79893325661493053	1.0
FBgn0002922	FBgn0029975	16.0	16.0	0.141253348948576	0.7988083454018533	1.0
FBgn0003507	FBgn0026418	16.0	16.0	0.13323402774573034	0.79782791021996402	1.0
FBgn0002633	FBgn0259984	16.0	16.0	0.11934418298175054	0.79772380399748388	1.0
